code,CHECK,GUIDELINE,auth_note,c_REVIEW,c_HEUMLE,c_SW,c_WCAG,c_D4ALL,n. papers,important (For average elderly user),touchscreen specific,web specific,general,multimodal,supplementary device/tool,text,font,graphics (icons & images),screen design (appearance),color,customization,navigation,errors,feedback,special needs,data input,element-content,element-interaction,element-size,element-placing
1,"Are supplementary formats (audio, video,images, etc) used to deliver information to users?","If possible provide information always by more than one way (e.,g, text, images, sound, video)",,-,"Are the icons clear, understandable and labeled?","- Images should have alt tags
- Provide text alternatives for non~text content that serves the same purpose.","- provide clear audio only alternative to video content         
- Don’t use an image of text when you can use plain text
- Display quotes as text rather than images
- Use CSS to style headings as text
- Use CSS to style navigation menus as text
                ","-...multimodal container of the type redundancy (text, images and vocal output)
-Video chatting performance by people with aphasia - Among other user groups, two studies support the use of symbols and pictograms for chatting 
-Use labeled icons
-Avoid pure images and icons , place them near the significant description
-Provide easy-to-understand icons followed by caption or description
-Use simple graphics and keep written information and other visual distractions to a minimum.
-Present buttons menu by icons and labels
-Use sounds to present information available on the visual display
-Use colours, icons and graphics. Often better than using text.
-Use images or sounding to supplement text-based information
-Implement auditory indicators of battery status, signal strength and roaming
-Use video to facilitate understanding text
-Do not rely only on the auditory background
-Let the user to know what he/she can do. Provide audio instructions of a human voice describing the options set to the user.
-Add video of the instructions on how to use the ballot
-This application provides different modes of feedback such as audio, tactile, or visual feedback.
-The use of pictures for making and receiving phone calls
-Develop buttons with labels instead of images
-Use different colors to categorize information visually",24,y,n,n,y,y,n,n,n,y,n,n,n,n,n,n,y,n,y,n,n,n
2,Sufficient color contrast and combinations used for text & background?,"-Best background color is white(ish), not pure white but softer tone
-Best default font color is black
-Provide dark mode ~> inversing white and black background & text, without breaking potential element borders
",,-,-,"Background screens should not be pure white or change rapidly in brightness between screens. Also, a high contrast between the foreground and background should exist, for example, coloured text on coloured backgrounds should be avoided","- Using a light background and dark text;
- Using a dark background and light text; 
- Using a colour contrast checker to verify your choice.","-Make a contrast ratio: 4.5: 1. Best: text in black, background in white
-A matching contrast is helpful for a good readability as well. Literature recommends light grey background with black fonts as a suitable contrast for elderly people.
-For older or colour blind users it is necessary to have high colour contrast. 
-Assure a good colour contrast ratio between background and foreground colours for every  interactive component. Even if these elements do not include text...
-Provide maximized contrast between main information and its surroundings (Visual impairment)
-Use high contrast coloured elements (visual impairment)
-Avoid combinations of green and red or yellow and blue 
-it is not recommended to use black or dark colours as they highlight finger prints and increase glare
-Avoid dark color background
-Avoid fluorescent colors
-Avoid patterned backgrounds
-Avoid pure white background
-Avoid background images
-Avoid white color background
-Mazimize the contrast between the foreground and the background colors
-Use soft colors
- mplement 60% opacity for all highlighting to render a good contrast between the black text and background colour. Maintain red underlining of erroneous text, as per the default Android KitKat and Lollipop style",21,y,n,n,y,n,n,y,y,y,y,y,n,n,n,n,y,n,n,n,n,n
3,System offers help/instructions for every major step & function?,"-Provide various ways to guide and aid the user, such as: tooltips, tutorials, recommendations, examples, etc.  
-Ensure that all major functions are explained and instructed
-If system shows tutorial/instructions when being used for the first time, ensure it is easy to access them afterwards again
",,-,"- Does the elderly know where is he and what can he do next?
- Does the launcher provide support to remember functions easily?",An online help tutorial should be provided,"- Provide detailed help and instructions
- Use text labels to elements in addition to sensory characteristics
- Don’t user instructions that only use sensory characteristics
- Avoid instructions that rely on sound
","-The instruction was provided to guide on the use of and navigation through the interface
-Include “built~in” instructions and an example video, to support independent learning and use.
-The application should have a set of resources aimed to help users when they feel lost.
-Provide a training mode that teaches the user about each available gesture
-Provide simple examples
-Additional time and alternative practice modalities
-Let the user to know what he/she can do. Provide audio instructions of a human voice describing the options set to the user.
-Help users in their interaction e.g., through a speaking front end
-Add video of the instructions on how to use the ballot
-Display a help panel and tips about the features in the first user access;
-Outline the main features of the system;
-M~VUI help material should be designed around actions available and relevant in a specific context. Furthermore, actions should be executable from within the help material rather than having additional steps to recall commands after exiting.
-Provide explicit affordances and make the icons indicate how to gesture (e.g. arrows for swiping), even if this means sacrificing aesthetics. (svere cognitive disabilities)",21,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
4,"Are all clickable items large enough? 
Also when used on most common mobile screen sizes?","- Clickable target area should be at least 12mm wide & 8mm in height 
- 16 ~ 20mm appears to be optimal",,-,Are buttons large enough to easily see the image or text on them?,"To aid with detection and capture of targets, i.e., buttons, they should be clearly visible",-,"-Make sure users will be able to click and select interactive elements in all devices
-interactive objects such as buttons, icons, and clickable text should at a minimum be larger than 8 mm. Note that some common components in the latest smartphone interfaces, such as keys in a software keyboard and a “back” button in the upper-left corner of a small device, conflict with this guideline
-Use adaptive algorithms to counteract these problems by resizing touch targets according to predictions of preceding inputs in the background
-...a button size that is at least as large as 15.9 × 9.0 mm, If a small button size must be used, make the spacing larger than 3 mm
-...larger than 50 × 50 the target size of 30 × 30 pixels led to higher error rates.
-Use larger targets (8 mm or larger in size). 30px buttons on a small screen are error prone
-Make buttons in the size of 16.5x16.5 mm.  For faster responses use 19.05x19.05mm.
-The optimal button size for finger selection is believed to be at least 20mm square. Minimum 11.43mm. 
-Medium (12mm) and large (17mm) target sizes produced less errors compared to small target sizes (7mm)
-No adjacent buttons, and a reaction time of around 1400 ms is acceptable, then an acceptable minimum button size is 11.43 mm square. A larger button size, such as 19.05 mm square, should be used if the task requires better performance. Second, if the user interface design uses rows of adjacent buttons and screen space is limited, then a button size of 16.51 mm square is acceptable.
-Use adaptive algorithms to counteract these problems by resizing touch targets 
-Use tap targets with 14mm of side
-Use 12 mm for target size while implementing for both user populations",19,y,y,n,y,n,n,n,n,n,y,n,n,n,n,n,y,n,n,y,y,n
5,"All interactable items give sufficient and at least two different forms of feedback (haptic, color, sound) when activated? ","Any interactable item provides at least two different forms of feedback: for instance visual, sound, or haptic (mobiles) & color.","More novel forms of feedback might also work, such as a quick shake of the interactable element, complimented with appropriate sound",-,Is there audio/visual/haptic confirmation when tapping?,"There should be clear confirmation of target capture, which should be visible to older adults who should  not be expected to detect small changes",-,"-Highlight the pressed button, if possible, showing a fading “fingerprint” on the display to show the actual touch
-Make buttons highlighted when pressed to support correct selection
-Another solution might include providing appropriate visual feedback to indicate where the users touched the screen, even when they have missed all of the interactive targets.
-This application provides informative feedback (e.g., a beep when pressing a key, an error message, etc.) that I am using it in the right way.
-For older adults in particular, this feedback must be salient. Visual feedback (such as color changes on a button as it is “depressed” on the touch screen) may not always be reliable for older adults. Tactile feedback (such as vibrations) or auditory feedback (such as button-press sounds) would be more salient.
-Make the feedback readable for older adults as they tend to have difficulty in interpreting the meanings of symbolic representations
-The output modality (i.e. vibration and visual feedback) can in general be assumed as appropriate since several studies report good results for visual tactile feedback. However, previous research also suggests an advantage of auditory haptic over visual haptic feedback for older users executing simple movement tasks
-Audio and haptic feedback, commonly associated with mobile phones, may  benefit other forms of touch screen systems
-haptic and audio feedback that the user can enable through settings to augment or completely replace the visual feedback
-The combination of several signals is recommended for elderly, i.e. haptic feedback when clicking in buttons.
-Make a brief, distinct sound heard when an item is selected
-Make names of items on the screen heard as they are touched (for severe visual impairment cases) 
-Show visual, audible or haptic feedback when users do touch configuration
-(Interaction) Use tabbing with audio confirmation to help elderly with reduced vision.
-Visual feedback (such as color changes on a button as it is “depressed” on the touch screen) may not always be reliable for older adults. Tactile feedback (such as vibrations) or auditory feedback (such as button-press sounds) would be more salient
-Getting an overview of the feedback content via clear movement and magnification method are found helpful. 
-For icon feedback, develop two-dimensional, which provide spatial and semantic cues. For example, movement - the position of the icon will gradualyl move after icon is touched;
-Allow enabling feedback to the user in at least three ways: sonification, verbalization and vibration",19,y,y,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n
6,"Text content is easy to understand? (no abbreviations, slang, unfamiliar expressions, or acronyms and if used an explanation is given)","-Avoid using acronyms, slang or abbreviations. However, if necessary, always accompany with explanation
-Information is provided in the user's own language",-,2nd guideline added due to expert feedback,Does the launcher use words that majority of older adults are familiar with?,"The language should be natural, simple and relevant to the user and should not 
contain any technical jargon","- 9 year old can understand the language used
- explain hard to pronounce words","-Be aware that words the designer may find commonplace may be arcane to an elder.
-Find representative words and icons. Use common words or icons or check with final users if they mean what you expect.
-The use of easy-to-understand language instead of computer jargon is crucial
-There must be also concerns on providing easy-to understand privacy options 
-Use wordings that suit the alderfly’s semantic field
-Guide the user by means of messages in clear, objective and educational language;
-Ensure that grammar and spelling are correct abbreviations and Symbols
-Avoid using double negatives
-Ensure that text is simple and facile to understand
-Avoid large blocks of italic text or bold text or underlined text
-Use bold only to highlight a key word or a title;
-Use capital letters for highlight important text.
-Use uppercase to highlight key words",19,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n
7,No unnecessary visual distractions? ,"-Only icons/images/colors/graphics that either contribute to enhancing a function or a message should be used
-Do not use unnessary graphics
-Avoid popups, asides confirmation and error windows
-Avoid advertisements
-Limit number of images per view as much as possible
-Avoid transparent elements. Ensure that background is either sufficiently blurred or hidden to avoid distracting user
-Limit the number of colors visible at one time",,-,-,"- Provide only one open window eg. pop up/animated  advertisements or multiple overlapping windows should be avoided
- Graphics should be relevant and not for decoration. ",-,"-Use simple graphics and keep written information and other visual distractions to a minimum.
-Remove from user interface unnecessary elements calling attention such as ads banners
-Minimise the number of interface elements,
-Interface design should take a minimal design approach respecting the limited screen space and be considerate not to overload user's visual attention span
-When designing the interface you need to consider what you want the user to see, for example, being consistent when grouping elements to aid navigation and eliminating extraneous features so the screen is not cluttered
-Provide the fewest possible of choices to users
-Visual changes that aim to focus the user attention on the most probable keys, have a negative impact in text~input speed
-Avoid instant features that change with each new interaction such as filters and auto-completion
-Avoid utilising too much images
-Avoid utilising too much color
-Avoid unnecessary decoration
-Ensure that images are not only for decoration
-The screen should not contain any distracting elements (e.g. wallpaper, minimal amount of buttons, text etc.). 
-Avoid utilising too much images
-Keep the interfaces clean with minimal distractions to miminise use of limited attention resources.",18,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n
8,"Elements (any currently visible container in a view, such as: buttons, input field, label) does not change or disappear without user's permission?","- A view should never change without the user's confirmation
- Avoid time limited tasks & functions (that disappear after the time limit)
-Icon & images and general look and feel should not abruptly change between views.",,-,-,Provide ample time to read information,"- Elements do not change when they receive input
- Time limits have user controls
- No time limits
- Don't interrupt users
- Elements do not change when they receive focus
- Don’t change elements on your website until users ask
","-If a multi mode design is needed, provide an explicit feedback about mode-changes and a display of the current mode. The indicators of mode changes should be persistent and large, since the elderly users may fail to notice short alerts or small changes in the look~and~feel.
-visual changes that aim to focus the user attention on the most probable keys, have a negative impact in text~input speed
-Use visual changes only to give feedback about the pressed and released key.
-Avoid instant features that change with each new interaction such as filters and auto completion
-Provide users enough time to use or read content
-Avoid time dependent controls
-Allow wait time setting on entering each character ",15,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,y
9,There is enough space around clickable items to avoid erroneus clicks?,"-Minimum space between buttons should be 3mm 
-Spacing of up to 12mm is recommended. 
-Ensure spacing is not exaggerated, it is likely counterproductive
-Clicking on the edge of one button, should not activate any neighbouring buttons",,-,Is there enough space between buttons to prevent hitting multiple or incorrect buttons?,-,-,"- a space between 3.17mm and 12.7mm is needed to lower performance error rates for older users.
-Yes and No touch buttons were located at the farther left and right sides of the touchscreen
-Make buttons spacing of 3.17-6.35mm
-Deal with poor aiming rather than finger slips. 
-Spacing between the buttons is required to be between 3.17mm and 12.7mm
-Maintain minimum spacing of 44 pixels between interface elements
-Address the gap between intended and actual touch locations. The elderly tend to miss their intended targets due to parallax and the large contact area of each finger
-If the user interface design uses rows of adjacent buttons on a single screen, then the buttons should be separated by a space of 3.17 mm to 12.7 mm. Older adult subjects preferred a spacing of 6.35 mm ... Large spacing (19.05 mm in this experiment) will only increase the time for searching the screen and moving to touch the target buttom
-Older adults with relatively normal manual dexterity, then a button size of 16.51 mm and spacing of 3.17 mm to 6.35 mm should be appropriate for screen layouts that require rows of adjacent buttons. However, for older adults with poor manual dexterity a larger button size, at least 19.05 mm and a larger spacing, 6.35 mm to 12.7 mm, is required.",15,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y
10,Is the font large enough?,"-Minimum size should be 6pt
-Optimal range is 9~12pt
-For visually impaired users 12pt or more should be used
-For chinese font 8pt is recommended",,-,-,"-Use i.e.,1~4 point size. 
-Avoid other fancy font types",-,"-Provide a font size of 12~14 points. It could be a problem when same text has to be written in different languages and resultant phrase has different length.
-lower bound at 6, otherwise 9~12 range and positive comments for 8,10,12
-16pt (public touchscreen kiosk)
-phrase lenght may vary depending on language used
-Information was displayed in sans serif and in at least two font sizes: 3.0~4.0 mm (the height of an upper case letter in the smaller text size) and 6.3~9.0 mm
-Ensure that the text size for printing is from 12 pt to 14 pt (Visual impairment)
-Provide larger font type: from 12 pt to 14 pt for body text and 16 pt for titles (visual impairment)
-14px or more for low vision users
-For Chinese text spacing when the font size is 15x15 pixels (8 points), the recommended inter-line spacing is 6–8 pixels and the inter-character spacing is 2~4 pixels for higher text readability, lower visual fatigue, and higher user preference.
",14,y,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
